name,description,category,provider,location,image_url
KOE,"​ 10% de descuento en planes contado.8% de descuento en planes crédito. No acumulables con otras promocionesPreparación para una prueba internacional (toefl, toeic, ilts o b2 first de cambridge)Talleres presenciales u onlineBeca familiar gratuita por contratoProgramas de enseñanza y aprendizaje del idioma Inglés en horarios programables de libre elección con asistencia de 2 veces a la semana, pudiendo ser virtual de lunes a viernes de 8.00 am a 9.00 pm – sábado y domingo de 9.00 am a 4.00 pm y presencial de Lunes a viernes de 12.00 pm a 9.00 pm – sábado de 10.00 am a 2.00 pm.El usuario tiene acceso a sesiones presenciales, virtuales o mixtas en tiempo real; en caso de las clases presenciales podrá asistir a cualquiera de las sedes de KOE, ubicadas en Huefanos 1117, of 414, Santiago centro - Apoquindo 2930 piso 13, Las Condes - Libertad 798 piso 6 oficina 602, Viña del Mar.Acreditando pertenencia a Universidad Mayor, con un certificado de alumno regular o pantallazo del perfil del Mundo Mayor.Contacto: Myriam Andrea Espejo Quilobrán / Ejecutiva Convenio / +56978078604 / myriam.espejo@gmail.com o myriam.espejo@koe.lawww.koe.cl",Cursos,Universidad Mayor,Sin ubicación,
CLUB FOTOGRAFÍA,"​10% de descuento en cualquiera de nuestros cursos individuales.Pago solo vía transferencia electrónica.Para canjearlo deben hacer la reserva desde la web usando el código de descuentoMICLUBMAYOR. Acreditando pertenencia a Universidad Mayor, con un certificado de alumno regular o pantallazo del perfil del Mundo Mayor.www.clubdefotografia.cl",Cursos,Universidad Mayor,Sin ubicación,
JUNTOS AL VOLANTE,​10 % sobre el total de la compra en los siguientes cursos:Curso normal auto manualCurso normal auto automáticoCurso a domicilioCurso intensivoAdicional al curso contratado se le otorgará una clase práctica adicional. No acumulables con otras promociones.SUCURSAL VITACURAAvenida san patricio 4298 oficina 11 piso 3SUCURSAL LAS CONDESAvenida apoquindo 4900 local 26 piso 1SUCURSAL HUECHURABAAvenida pedro fontova 7280 oficina 215 piso 2www.juntosalvolante.cl,Cursos,Universidad Mayor,Sin ubicación,
ESCUELA DE CONDUCTORES SAN LUIS ​,"​10 % sobre el total de la compra en los siguientes cursos:Curso normal auto manualCurso normal auto automáticoCurso a domicilioCurso intensivoAdicional al curso contratado se le otorgará una clase práctica adicional.No acumulables con otras promociones.Sucursal Metro ÑuñoaAv. Pedro de Valdivia # 3474, Local 43-B, Tercer Nivel, Mall Caracol, Metro ÑuñoaSucursal Metro IrarrázavalAvda. Matta 060 local 10www.edcsanluis.cl",Cursos,Universidad Mayor,Sin ubicación,
COLOR ASTRAL,"​20% de descuento en taller experimental de ceramica.10% en taller intensivo o workshop de tazas.Acreditando pertenencia a Universidad Mayor, con un certificado de alumno regular o pantallazo del perfil de Intranet (App Mundo Mayor) al correocolorastral@gmail.comwww.instagram.com/colorastralInfo Talleres.pdf",Cursos,Universidad Mayor,Sin ubicación,
CHILESCALANDO,​25% de descuento en los servicios de:Curso de iniciación en escalada deportiva en monolargo.Experiencia de escalada en roca.Más información con: Víctor Sáez / +569 8598 0467IG@chilescalandoRevisa los cursos aquí:Curso de escalada​Curso Top-rope y desequiparExperiencia de escaladaTécnicas de autorescate,Cursos,Universidad Mayor,Sin ubicación,
Librería Nacional,"Obtiene un 20% de descuento, válido para tiendas físicas y compras a través de la web.Para compras online, utiliza el códigouniversidad_mayorPara descuento en tiendas físicas, debes mostrar tu credencial de la App Mundo Mayor.Promoción válida del 01 de junio hasta el 31 de julio.",Tiendas y Servicios,Universidad Mayor,Sin ubicación,
ESTACIONAMIENTO ZENIT,"Ticket diario U. Mayor a $ 4.000 IVA incluido, para la jornada completaAbono Mensual 24/7 a $85.000 IVA incluido, mes completo.Eliodoro Yáñez 1250, Providencia",Tiendas y Servicios,Universidad Mayor,Sin ubicación,
M3STORAGE,"20% descuento los primeros 3 meses en arriendo de bodegas (No acumulables con otras promociones y sujeto a disponibilidad) Esto sobre el precio o valores referenciales de lista para el público consumidor.Utilizando el cupón de descuento “UMAYORM3” a través de la página web. O comunicándose directamente al +56 9 8617 4925 para solicitar el arriendo de bodega acreditando pertenencia a Universidad Mayor, con un certificado de alumno regular o pantallazo del perfil de Intranet (App Mundo Mayor).https://m3storage.cl/",Tiendas y Servicios,Universidad Mayor,Sin ubicación,
BIKEFIX,"5% en accesorios de repuestos.5% de descuento en compra de bicicletas cualquier medio de pago, no es acumulable con otras promociones.Enviar copia del certificado de alumno regular al correo bikefixchile@gmail.comwww.bikefix.cl/",Tiendas y Servicios,Universidad Mayor,Sin ubicación,
CLETA SOS,"15% de descuento en todos los servicios de mantención de bicicletas utilizando el código ""umayor"" al agendarlo por la web.Acreditando pertenencia a Universidad Mayor, con un certificado de alumno regular o pantallazo del perfil de la App Mundo Mayor.cleta1.sos@gmail.comwww.cletaSOS.cl",Tiendas y Servicios,Universidad Mayor,Sin ubicación,
VIÑA CASA DONOSO,"Entre 20 y 50% en vinos y productos.10% de descuento en actividades enológicas (Visitas guiadas, tour, etc) en sucursal Talca. 10% de descuento en arriendo de Instalaciones para eventos corporativos.Maria Jose Torres+56 9 5684 5204mariajose.torres.anc@gmail.comwww.instagram.com/vinacasadonoso/",Tiendas y Servicios,Universidad Mayor,Sin ubicación,
VIÑA SUTIL,"40% de descuento sobre el precio de lista de los productos comercializados por TWG a través de la plataforma utilizando el código de descuento “UMAYOR2025”, cuyo uso es ilimitado y se mantendrá vigente hasta el 1º de marzo de 2026.www.bardecopas.cl",Tiendas y Servicios,Universidad Mayor,Sin ubicación,
OTIUM,"20% de descuentoacreditando pertenencia a Universidad Mayor, con un certificado de alumno regular o pantallazo del perfil de del Mundo Mayor en las tiendas presenciales o genera un cupón de descuento vía DM en su cuenta de Instagram.⁣⁣www.instagram.com/otium.cl",Tiendas y Servicios,Universidad Mayor,Sin ubicación,
